Pin,MC,TYPE,Parameter,Channel,SubChannel,Partition,Nibble,Offset,LoopDelay,REGID,FieldName,Register,Field,Size,Base,ExpectedData,StringData,StorageToken,LowLimit,HighLimit,ExitPort,ItuffToken,ItuffDescriptor
TDO,M0,DATA,-,-,A,1,1,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_A_1_1_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,2,0,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_A_2_0_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,2,0,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_A_2_0_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,2,0,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_A_2_0_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,2,0,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_A_2_0_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,2,0,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_A_2_0_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,2,0,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_A_2_0_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,2,1,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_A_2_1_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,2,1,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_A_2_1_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,2,1,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_A_2_1_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,2,1,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_A_2_1_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,2,1,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_A_2_1_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,2,1,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_A_2_1_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,3,0,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_A_3_0_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,3,0,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_A_3_0_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,3,0,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_A_3_0_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,3,0,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_A_3_0_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,3,0,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_A_3_0_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,3,0,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_A_3_0_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,3,1,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_A_3_1_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,3,1,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_A_3_1_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,3,1,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_A_3_1_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,3,1,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_A_3_1_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,3,1,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_A_3_1_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,3,1,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_A_3_1_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,4,0,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_A_4_0_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,4,0,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_A_4_0_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,4,0,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_A_4_0_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,4,0,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_A_4_0_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,4,0,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_A_4_0_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,4,0,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_A_4_0_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,4,1,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_A_4_1_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,4,1,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_A_4_1_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,4,1,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_A_4_1_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,4,1,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_A_4_1_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,4,1,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_A_4_1_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,A,4,1,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_A_4_1_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,0,0,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_B_0_0_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,0,0,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_B_0_0_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,0,0,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_B_0_0_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,0,0,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_B_0_0_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,0,0,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_B_0_0_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,0,0,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_B_0_0_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,0,1,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_B_0_1_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,0,1,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_B_0_1_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,0,1,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_B_0_1_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,0,1,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_B_0_1_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,0,1,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_B_0_1_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,0,1,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_B_0_1_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,1,0,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_B_1_0_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,1,0,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_B_1_0_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,1,0,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_B_1_0_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,1,0,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_B_1_0_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,1,0,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_B_1_0_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,1,0,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_B_1_0_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,1,1,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_B_1_1_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,1,1,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_B_1_1_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,1,1,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_B_1_1_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,1,1,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_B_1_1_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,1,1,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_B_1_1_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,1,1,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_B_1_1_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,2,0,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_B_2_0_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,2,0,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_B_2_0_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,2,0,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_B_2_0_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,2,0,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_B_2_0_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,2,0,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_B_2_0_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,2,0,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_B_2_0_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,2,1,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_B_2_1_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,2,1,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_B_2_1_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,2,1,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_B_2_1_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,2,1,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_B_2_1_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,2,1,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_B_2_1_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,2,1,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_B_2_1_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,3,0,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_B_3_0_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,3,0,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_B_3_0_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,3,0,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_B_3_0_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,3,0,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_B_3_0_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,3,0,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_B_3_0_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,3,0,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_B_3_0_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,3,1,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_B_3_1_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,3,1,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_B_3_1_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,3,1,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_B_3_1_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,3,1,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_B_3_1_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,3,1,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_B_3_1_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,3,1,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_B_3_1_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,4,0,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_B_4_0_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,4,0,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_B_4_0_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,4,0,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_B_4_0_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,4,0,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_B_4_0_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,4,0,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_B_4_0_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,4,0,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_B_4_0_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,4,1,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M0_B_4_1_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,4,1,x,x,x,xover_err,ddrd_n0_hw_train_ctl0,M0_B_4_1_x_x_x_XoverErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,4,1,x,x,x,dqdqs_coarse_err,ddrd_n0_hw_train_ctl0,M0_B_4_1_x_x_x_DqdqsCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,4,1,x,x,x,rcven_fine_err,ddrd_n0_hw_train_ctl0,M0_B_4_1_x_x_x_RcvenFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,4,1,x,x,x,dqdqs_fine_err,ddrd_n0_hw_train_ctl0,M0_B_4_1_x_x_x_DqdqsFineErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M0,DATA,-,-,B,4,1,x,x,x,txperphase_err,ddrd_n0_hw_train_ctl1,M0_B_4_1_x_x_x_TxperphaseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
TDO,M1,DATA,-,-,A,0,0,x,x,x,RcvenCoarseErr,ddrd_n0_hw_train_ctl0,M1_A_0_0_x_x_x_RcvenCoarseErr,1,-,-,-,-,-,-,2,HWFSM_DATA,HWFSMDAT
