Pin,MC,TYPE,Parameter,Channel,SubChannel,Partition,Nibble,FieldName,Register,Field,Size,Base,ExpectedData,StringData,StorageToken,LowLimit,HighLimit,ExitPort,ItuffToken,ItuffDescriptor
TDO,M0,DATA,-,-,B,0,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M0_B_0_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,1,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M0_B_1_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,1,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M0_B_1_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,1,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M0_B_1_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,1,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M0_B_1_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,2,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M0_B_2_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,2,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M0_B_2_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,2,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M0_B_2_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,2,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M0_B_2_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,3,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M0_B_3_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,3,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M0_B_3_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,3,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M0_B_3_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,3,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M0_B_3_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,4,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M0_B_4_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,4,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M0_B_4_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,4,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M0_B_4_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M0,DATA,-,-,B,4,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M0_B_4_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,0,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M1_A_0_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,0,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M1_A_0_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,0,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M1_A_0_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,0,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M1_A_0_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,1,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M1_A_1_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,1,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M1_A_1_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,1,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M1_A_1_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,1,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M1_A_1_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,2,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M1_A_2_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,2,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M1_A_2_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,2,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M1_A_2_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,2,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M1_A_2_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,3,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M1_A_3_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,3,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M1_A_3_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,3,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M1_A_3_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,3,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M1_A_3_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,4,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M1_A_4_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,4,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M1_A_4_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,4,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M1_A_4_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,A,4,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M1_A_4_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,0,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M1_B_0_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,0,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M1_B_0_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,0,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M1_B_0_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,0,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M1_B_0_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,1,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M1_B_1_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,1,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M1_B_1_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,1,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M1_B_1_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,1,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M1_B_1_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,2,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M1_B_2_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,2,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M1_B_2_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,2,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M1_B_2_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,2,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M1_B_2_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,3,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M1_B_3_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,3,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M1_B_3_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,3,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M1_B_3_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,3,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M1_B_3_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,4,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M1_B_4_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,4,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M1_B_4_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,4,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M1_B_4_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M1,DATA,-,-,B,4,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M1_B_4_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,0,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M2_A_0_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,0,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M2_A_0_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,0,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M2_A_0_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,0,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M2_A_0_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,1,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M2_A_1_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,1,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M2_A_1_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,1,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M2_A_1_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,1,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M2_A_1_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,2,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M2_A_2_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,2,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M2_A_2_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,2,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M2_A_2_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,2,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M2_A_2_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,3,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M2_A_3_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,3,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M2_A_3_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,3,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M2_A_3_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,3,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M2_A_3_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,4,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M2_A_4_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,4,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M2_A_4_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,4,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M2_A_4_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,A,4,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M2_A_4_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,0,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M2_B_0_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,0,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M2_B_0_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,0,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M2_B_0_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,0,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M2_B_0_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,1,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M2_B_1_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,1,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M2_B_1_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,1,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M2_B_1_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,1,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M2_B_1_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,2,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M2_B_2_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,2,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M2_B_2_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,2,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M2_B_2_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,2,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M2_B_2_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,3,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M2_B_3_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,3,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M2_B_3_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,3,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M2_B_3_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,3,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M2_B_3_1_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,4,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M2_B_4_0_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,4,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M2_B_4_0_LdoDriverStaticLegOfs,4,-,-,-,-,-,-,0,LDODESKEW_DATA,LDODESKEWDAT
TDO,M2,DATA,-,-,B,4,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M2_B_4_1_LdoVrefctrl,9,-,-,-,-,405,455,0,LDODESKEW_DATA,LDODESKEWDAT
