Pin,MC,TYPE,Parameter,Channel,SubChannel,Partition,Nibble,FieldName,Register,Field,Size,Base,ExpectedData,StringData,StorageToken,LowLimit,HighLimit,ExitPort,ItuffToken,ItuffDescriptor
TDO,M0,DATA,-,-,A,0,0,detrm_lock,ddrd_n0_dll_csr,M0_A_0_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,A,0,1,detrm_lock,ddrd_n1_dll_csr,M0_A_0_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,A,1,0,detrm_lock,ddrd_n0_dll_csr,M0_A_1_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,A,1,1,detrm_lock,ddrd_n1_dll_csr,M0_A_1_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,A,2,0,detrm_lock,ddrd_n0_dll_csr,M0_A_2_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,A,2,1,detrm_lock,ddrd_n1_dll_csr,M0_A_2_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,A,3,0,detrm_lock,ddrd_n0_dll_csr,M0_A_3_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,A,3,1,detrm_lock,ddrd_n1_dll_csr,M0_A_3_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,A,4,0,detrm_lock,ddrd_n0_dll_csr,M0_A_4_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,A,4,1,detrm_lock,ddrd_n1_dll_csr,M0_A_4_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,B,0,0,detrm_lock,ddrd_n0_dll_csr,M0_B_0_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,B,0,1,detrm_lock,ddrd_n1_dll_csr,M0_B_0_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,B,1,0,detrm_lock,ddrd_n0_dll_csr,M0_B_1_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,B,1,1,detrm_lock,ddrd_n1_dll_csr,M0_B_1_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,B,2,0,detrm_lock,ddrd_n0_dll_csr,M0_B_2_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,B,2,1,detrm_lock,ddrd_n1_dll_csr,M0_B_2_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,B,3,0,detrm_lock,ddrd_n0_dll_csr,M0_B_3_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,B,3,1,detrm_lock,ddrd_n1_dll_csr,M0_B_3_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,B,4,0,detrm_lock,ddrd_n0_dll_csr,M0_B_4_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M0,DATA,-,-,B,4,1,detrm_lock,ddrd_n1_dll_csr,M0_B_4_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,A,0,0,detrm_lock,ddrd_n0_dll_csr,M1_A_0_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,A,0,1,detrm_lock,ddrd_n1_dll_csr,M1_A_0_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,A,1,0,detrm_lock,ddrd_n0_dll_csr,M1_A_1_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,A,1,1,detrm_lock,ddrd_n1_dll_csr,M1_A_1_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,A,2,0,detrm_lock,ddrd_n0_dll_csr,M1_A_2_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,A,2,1,detrm_lock,ddrd_n1_dll_csr,M1_A_2_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,A,3,0,detrm_lock,ddrd_n0_dll_csr,M1_A_3_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,A,3,1,detrm_lock,ddrd_n1_dll_csr,M1_A_3_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,A,4,0,detrm_lock,ddrd_n0_dll_csr,M1_A_4_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,A,4,1,detrm_lock,ddrd_n1_dll_csr,M1_A_4_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,B,0,0,detrm_lock,ddrd_n0_dll_csr,M1_B_0_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,B,0,1,detrm_lock,ddrd_n1_dll_csr,M1_B_0_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,B,1,0,detrm_lock,ddrd_n0_dll_csr,M1_B_1_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,B,1,1,detrm_lock,ddrd_n1_dll_csr,M1_B_1_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,B,2,0,detrm_lock,ddrd_n0_dll_csr,M1_B_2_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,B,2,1,detrm_lock,ddrd_n1_dll_csr,M1_B_2_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,B,3,0,detrm_lock,ddrd_n0_dll_csr,M1_B_3_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,B,3,1,detrm_lock,ddrd_n1_dll_csr,M1_B_3_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,B,4,0,detrm_lock,ddrd_n0_dll_csr,M1_B_4_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M1,DATA,-,-,B,4,1,detrm_lock,ddrd_n1_dll_csr,M1_B_4_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M2,DATA,-,-,A,0,0,detrm_lock,ddrd_n0_dll_csr,M2_A_0_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M2,DATA,-,-,A,0,1,detrm_lock,ddrd_n1_dll_csr,M2_A_0_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M2,DATA,-,-,A,1,0,detrm_lock,ddrd_n0_dll_csr,M2_A_1_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M2,DATA,-,-,A,1,1,detrm_lock,ddrd_n1_dll_csr,M2_A_1_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M2,DATA,-,-,A,2,0,detrm_lock,ddrd_n0_dll_csr,M2_A_2_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M2,DATA,-,-,A,2,1,detrm_lock,ddrd_n1_dll_csr,M2_A_2_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M2,DATA,-,-,A,3,0,detrm_lock,ddrd_n0_dll_csr,M2_A_3_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M2,DATA,-,-,A,3,1,detrm_lock,ddrd_n1_dll_csr,M2_A_3_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M2,DATA,-,-,A,4,0,detrm_lock,ddrd_n0_dll_csr,M2_A_4_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M2,DATA,-,-,A,4,1,detrm_lock,ddrd_n1_dll_csr,M2_A_4_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M2,DATA,-,-,B,0,0,detrm_lock,ddrd_n0_dll_csr,M2_B_0_0_DetrmLock,1,-,1,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
TDO,M2,DATA,-,-,B,0,1,detrm_lock,ddrd_n1_dll_csr,M2_B_0_1_DetrmLock,1,-,0,-,-,-,-,0,MDLLLOCK_DATA,MDLLLOCKDATA
